[0/501] 0초 0/100 pos:0m, v:0m/s, Ek:0.0, p:0N
[221/501] 2초 21/100 pos:2.8499999999999766m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[222/501] 2초 22/100 pos:2.7499999999999765m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[223/501] 2초 23/100 pos:2.6499999999999764m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[224/501] 2초 24/100 pos:2.5499999999999763m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[225/501] 2초 25/100 pos:2.449999999999976m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[226/501] 2초 26/100 pos:2.349999999999976m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[227/501] 2초 27/100 pos:2.249999999999976m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[228/501] 2초 28/100 pos:2.149999999999976m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[229/501] 2초 29/100 pos:2.049999999999976m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[230/501] 2초 30/100 pos:1.9499999999999758m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[231/501] 2초 31/100 pos:1.8499999999999757m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[232/501] 2초 32/100 pos:1.7499999999999756m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[233/501] 2초 33/100 pos:1.6499999999999755m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[234/501] 2초 34/100 pos:1.5499999999999754m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[235/501] 2초 35/100 pos:1.4499999999999753m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[236/501] 2초 36/100 pos:1.3499999999999752m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[237/501] 2초 37/100 pos:1.2499999999999751m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[238/501] 2초 38/100 pos:1.149999999999975m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[239/501] 2초 39/100 pos:1.049999999999975m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[240/501] 2초 40/100 pos:0.9499999999999748m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[241/501] 2초 41/100 pos:0.8499999999999746m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[242/501] 2초 42/100 pos:0.7499999999999744m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[243/501] 2초 43/100 pos:0.6499999999999742m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[244/501] 2초 44/100 pos:0.549999999999974m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[245/501] 2초 45/100 pos:0.4499999999999738m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[246/501] 2초 46/100 pos:0.34999999999997367m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[247/501] 2초 47/100 pos:0.24999999999997352m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[248/501] 2초 48/100 pos:0.14999999999997338m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[249/501] 2초 49/100 pos:0.04999999999997322m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[250/501] 2초 50/100 pos:-0.05000000000002694m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[251/501] 2초 51/100 pos:-0.1500000000000271m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[252/501] 2초 52/100 pos:-0.25000000000002726m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[253/501] 2초 53/100 pos:-0.3500000000000274m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[254/501] 2초 54/100 pos:-0.45000000000002754m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[255/501] 2초 55/100 pos:-0.5500000000000277m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[256/501] 2초 56/100 pos:-0.6500000000000279m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[257/501] 2초 57/100 pos:-0.7500000000000281m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[258/501] 2초 58/100 pos:-0.8500000000000283m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[259/501] 2초 59/100 pos:-0.9500000000000285m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[260/501] 2초 60/100 pos:-1.0500000000000287m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[261/501] 2초 61/100 pos:-1.1500000000000288m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[262/501] 2초 62/100 pos:-1.2500000000000289m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[263/501] 2초 63/100 pos:-1.350000000000029m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[264/501] 2초 64/100 pos:-1.450000000000029m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[265/501] 2초 65/100 pos:-1.5500000000000291m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[266/501] 2초 66/100 pos:-1.6500000000000292m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[267/501] 2초 67/100 pos:-1.7500000000000293m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[268/501] 2초 68/100 pos:-1.8500000000000294m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[269/501] 2초 69/100 pos:-1.9500000000000295m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[270/501] 2초 70/100 pos:-2.0500000000000296m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[271/501] 2초 71/100 pos:-2.1500000000000297m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[272/501] 2초 72/100 pos:-2.2500000000000298m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[273/501] 2초 73/100 pos:-2.35000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[274/501] 2초 74/100 pos:-2.45000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[275/501] 2초 75/100 pos:-2.55000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[276/501] 2초 76/100 pos:-2.65000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[277/501] 2초 77/100 pos:-2.75000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[278/501] 2초 78/100 pos:-2.8500000000000303m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[279/501] 2초 79/100 pos:-2.9500000000000304m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[280/501] 2초 80/100 pos:-3.0500000000000305m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[281/501] 2초 81/100 pos:-3.1500000000000306m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[282/501] 2초 82/100 pos:-3.2500000000000306m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[283/501] 2초 83/100 pos:-3.3500000000000307m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[284/501] 2초 84/100 pos:-3.450000000000031m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[285/501] 2초 85/100 pos:-3.550000000000031m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[286/501] 2초 86/100 pos:-3.650000000000031m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[287/501] 2초 87/100 pos:-3.750000000000031m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[288/501] 2초 88/100 pos:-3.850000000000031m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[289/501] 2초 89/100 pos:-3.9500000000000313m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[290/501] 2초 90/100 pos:-4.050000000000032m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[291/501] 2초 91/100 pos:-4.150000000000032m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[292/501] 2초 92/100 pos:-4.250000000000033m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[293/501] 2초 93/100 pos:-4.350000000000033m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[294/501] 2초 94/100 pos:-4.450000000000034m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[295/501] 2초 95/100 pos:-4.5500000000000345m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[296/501] 2초 96/100 pos:-4.650000000000035m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[297/501] 2초 97/100 pos:-4.7500000000000355m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[298/501] 2초 98/100 pos:-4.850000000000036m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[299/501] 2초 99/100 pos:-4.950000000000037m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[300/501] 3초 0/100 pos:-5.050000000000037m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[301/501] 3초 1/100 pos:-5.150000000000038m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[302/501] 3초 2/100 pos:-5.250000000000038m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[303/501] 3초 3/100 pos:-5.350000000000039m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[304/501] 3초 4/100 pos:-5.450000000000039m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[305/501] 3초 5/100 pos:-5.55000000000004m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[306/501] 3초 6/100 pos:-5.65000000000004m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[307/501] 3초 7/100 pos:-5.750000000000041m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[308/501] 3초 8/100 pos:-5.850000000000041m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[309/501] 3초 9/100 pos:-5.950000000000042m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[310/501] 3초 10/100 pos:-6.0500000000000425m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[311/501] 3초 11/100 pos:-6.150000000000043m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[312/501] 3초 12/100 pos:-6.2500000000000435m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[313/501] 3초 13/100 pos:-6.350000000000044m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[314/501] 3초 14/100 pos:-6.450000000000045m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[315/501] 3초 15/100 pos:-6.550000000000045m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[316/501] 3초 16/100 pos:-6.650000000000046m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[317/501] 3초 17/100 pos:-6.750000000000046m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[318/501] 3초 18/100 pos:-6.850000000000047m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[319/501] 3초 19/100 pos:-6.950000000000047m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[320/501] 3초 20/100 pos:-7.050000000000048m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[321/501] 3초 21/100 pos:-7.150000000000048m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[322/501] 3초 22/100 pos:-7.250000000000049m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[323/501] 3초 23/100 pos:-7.350000000000049m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[324/501] 3초 24/100 pos:-7.45000000000005m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[325/501] 3초 25/100 pos:-7.5500000000000504m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[326/501] 3초 26/100 pos:-7.650000000000051m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[327/501] 3초 27/100 pos:-7.7500000000000515m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[328/501] 3초 28/100 pos:-7.850000000000052m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[329/501] 3초 29/100 pos:-7.950000000000053m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[330/501] 3초 30/100 pos:-8.050000000000052m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[331/501] 3초 31/100 pos:-8.150000000000052m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[332/501] 3초 32/100 pos:-8.250000000000052m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[333/501] 3초 33/100 pos:-8.350000000000051m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[334/501] 3초 34/100 pos:-8.45000000000005m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[335/501] 3초 35/100 pos:-8.55000000000005m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[336/501] 3초 36/100 pos:-8.65000000000005m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[337/501] 3초 37/100 pos:-8.75000000000005m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[338/501] 3초 38/100 pos:-8.85000000000005m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[339/501] 3초 39/100 pos:-8.950000000000049m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[340/501] 3초 40/100 pos:-9.050000000000049m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[341/501] 3초 41/100 pos:-9.150000000000048m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[342/501] 3초 42/100 pos:-9.250000000000048m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[343/501] 3초 43/100 pos:-9.350000000000048m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[344/501] 3초 44/100 pos:-9.450000000000047m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[345/501] 3초 45/100 pos:-9.550000000000047m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[346/501] 3초 46/100 pos:-9.650000000000047m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[347/501] 3초 47/100 pos:-9.750000000000046m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[348/501] 3초 48/100 pos:-9.850000000000046m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[349/501] 3초 49/100 pos:-9.950000000000045m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[350/501] 3초 50/100 pos:-10.050000000000045m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[351/501] 3초 51/100 pos:-10.150000000000045m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[352/501] 3초 52/100 pos:-10.250000000000044m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[353/501] 3초 53/100 pos:-10.350000000000044m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[354/501] 3초 54/100 pos:-10.450000000000044m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[355/501] 3초 55/100 pos:-10.550000000000043m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[356/501] 3초 56/100 pos:-10.650000000000043m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[357/501] 3초 57/100 pos:-10.750000000000043m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[358/501] 3초 58/100 pos:-10.850000000000042m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[359/501] 3초 59/100 pos:-10.950000000000042m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[360/501] 3초 60/100 pos:-11.050000000000042m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[361/501] 3초 61/100 pos:-11.150000000000041m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[362/501] 3초 62/100 pos:-11.25000000000004m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[363/501] 3초 63/100 pos:-11.35000000000004m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[364/501] 3초 64/100 pos:-11.45000000000004m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[365/501] 3초 65/100 pos:-11.55000000000004m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[366/501] 3초 66/100 pos:-11.65000000000004m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[367/501] 3초 67/100 pos:-11.750000000000039m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[368/501] 3초 68/100 pos:-11.850000000000039m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[369/501] 3초 69/100 pos:-11.950000000000038m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[370/501] 3초 70/100 pos:-12.050000000000038m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[371/501] 3초 71/100 pos:-12.150000000000038m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[372/501] 3초 72/100 pos:-12.250000000000037m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[373/501] 3초 73/100 pos:-12.350000000000037m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[374/501] 3초 74/100 pos:-12.450000000000037m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[375/501] 3초 75/100 pos:-12.550000000000036m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[376/501] 3초 76/100 pos:-12.650000000000036m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[377/501] 3초 77/100 pos:-12.750000000000036m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[378/501] 3초 78/100 pos:-12.850000000000035m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[379/501] 3초 79/100 pos:-12.950000000000035m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[380/501] 3초 80/100 pos:-13.050000000000034m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[381/501] 3초 81/100 pos:-13.150000000000034m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[382/501] 3초 82/100 pos:-13.250000000000034m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[383/501] 3초 83/100 pos:-13.350000000000033m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[384/501] 3초 84/100 pos:-13.450000000000033m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[385/501] 3초 85/100 pos:-13.550000000000033m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[386/501] 3초 86/100 pos:-13.650000000000032m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[387/501] 3초 87/100 pos:-13.750000000000032m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[388/501] 3초 88/100 pos:-13.850000000000032m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[389/501] 3초 89/100 pos:-13.950000000000031m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[390/501] 3초 90/100 pos:-14.050000000000031m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[391/501] 3초 91/100 pos:-14.15000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[392/501] 3초 92/100 pos:-14.25000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[393/501] 3초 93/100 pos:-14.35000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[394/501] 3초 94/100 pos:-14.45000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[395/501] 3초 95/100 pos:-14.55000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[396/501] 3초 96/100 pos:-14.650000000000029m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[397/501] 3초 97/100 pos:-14.750000000000028m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[398/501] 3초 98/100 pos:-14.850000000000028m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[399/501] 3초 99/100 pos:-14.950000000000028m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[400/501] 4초 0/100 pos:-15.050000000000027m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[401/501] 4초 1/100 pos:-15.150000000000027m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[402/501] 4초 2/100 pos:-15.250000000000027m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[403/501] 4초 3/100 pos:-15.350000000000026m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[404/501] 4초 4/100 pos:-15.450000000000026m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[405/501] 4초 5/100 pos:-15.550000000000026m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[406/501] 4초 6/100 pos:-15.650000000000025m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[407/501] 4초 7/100 pos:-15.750000000000025m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[408/501] 4초 8/100 pos:-15.850000000000025m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[409/501] 4초 9/100 pos:-15.950000000000024m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[410/501] 4초 10/100 pos:-16.050000000000026m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[411/501] 4초 11/100 pos:-16.150000000000027m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[412/501] 4초 12/100 pos:-16.25000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[413/501] 4초 13/100 pos:-16.35000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[414/501] 4초 14/100 pos:-16.45000000000003m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[415/501] 4초 15/100 pos:-16.550000000000033m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[416/501] 4초 16/100 pos:-16.650000000000034m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[417/501] 4초 17/100 pos:-16.750000000000036m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[418/501] 4초 18/100 pos:-16.850000000000037m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[419/501] 4초 19/100 pos:-16.95000000000004m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[420/501] 4초 20/100 pos:-17.05000000000004m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[421/501] 4초 21/100 pos:-17.15000000000004m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[422/501] 4초 22/100 pos:-17.250000000000043m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[423/501] 4초 23/100 pos:-17.350000000000044m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[424/501] 4초 24/100 pos:-17.450000000000045m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[425/501] 4초 25/100 pos:-17.550000000000047m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[426/501] 4초 26/100 pos:-17.65000000000005m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[427/501] 4초 27/100 pos:-17.75000000000005m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[428/501] 4초 28/100 pos:-17.85000000000005m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[429/501] 4초 29/100 pos:-17.950000000000053m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[430/501] 4초 30/100 pos:-18.050000000000054m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[431/501] 4초 31/100 pos:-18.150000000000055m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[432/501] 4초 32/100 pos:-18.250000000000057m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[433/501] 4초 33/100 pos:-18.35000000000006m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[434/501] 4초 34/100 pos:-18.45000000000006m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[435/501] 4초 35/100 pos:-18.55000000000006m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[436/501] 4초 36/100 pos:-18.650000000000063m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[437/501] 4초 37/100 pos:-18.750000000000064m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
